Tempo_µs,Ciclo_CPU,Referencia_Motor,Vel_Real
1376640.0,1376400.0,0.0,0.0
1408180.0,196.0,1125.0,0.0
1428676.0,196.0,1125.0,214.0
1451060.0,192.0,1157.0,214.0
1474732.0,196.0,1189.0,428.0
1496260.0,200.0,1189.0,428.0
1520700.0,192.0,1232.0,428.0
1542216.0,272.0,1264.0,642.0
1565712.0,192.0,1264.0,857.0
1589348.0,192.0,1296.0,857.0
1611816.0,200.0,1328.0,857.0
1634332.0,192.0,1328.0,857.0
1657988.0,192.0,1360.0,1071.0
1681524.0,192.0,1382.0,1071.0
1705052.0,192.0,1382.0,1285.0
1729548.0,192.0,1414.0,1285.0
1752100.0,200.0,1435.0,1071.0
1777740.0,192.0,1435.0,1285.0
1800332.0,192.0,1446.0,1285.0
1824828.0,200.0,1467.0,1285.0
1849524.0,196.0,1467.0,1285.0
1873060.0,196.0,1478.0,1714.0
1896628.0,196.0,1489.0,1500.0
1920132.0,192.0,1489.0,1500.0
1944660.0,192.0,1489.0,1285.0
1967372.0,204.0,1500.0,1500.0
1992812.0,192.0,1500.0,1500.0
2016420.0,200.0,1489.0,1500.0
2039932.0,192.0,1489.0,1500.0
2064424.0,192.0,1489.0,1500.0
2087964.0,200.0,1478.0,1500.0
2112652.0,192.0,1467.0,1500.0
2135220.0,196.0,1467.0,1500.0
2159708.0,200.0,1446.0,1500.0
2183252.0,200.0,1435.0,1500.0
2207940.0,196.0,1435.0,1500.0
2231476.0,204.0,1414.0,1500.0
2255972.0,192.0,1382.0,1500.0
2279532.0,192.0,1382.0,1500.0
2303068.0,192.0,1360.0,1500.0
2327740.0,196.0,1328.0,1500.0
2350112.0,200.0,1328.0,1500.0
2374772.0,192.0,1296.0,1500.0
2398308.0,192.0,1264.0,1500.0
2422804.0,200.0,1264.0,1500.0
2447532.0,196.0,1232.0,1500.0
2471100.0,196.0,1189.0,1500.0
2494604.0,200.0,1189.0,1500.0
2518132.0,192.0,1157.0,1500.0
