Tempo_µs,Ciclo_CPU,Referencia_Motor,Vel_Real
1376640.0,1376400.0,0.0,0.0
1408012.0,192.0,1189.0,0.0
1428516.0,192.0,1296.0,0.0
1450164.0,196.0,1414.0,214.0
1472692.0,196.0,1478.0,214.0
1494172.0,208.0,1500.0,642.0
1518636.0,200.0,1467.0,642.0
1540148.0,264.0,1414.0,857.0
1563828.0,196.0,1328.0,857.0
1586308.0,200.0,1232.0,1071.0
1610804.0,192.0,1125.0,857.0
1633312.0,192.0,1007.0,1071.0
1658020.0,216.0,878.0,1071.0
1680492.0,196.0,803.0,1071.0
1702980.0,192.0,760.0,1071.0
1726652.0,208.0,750.0,1071.0
1749132.0,192.0,771.0,1071.0
1771632.0,192.0,825.0,857.0
1793076.0,192.0,910.0,1071.0
1816740.0,196.0,1007.0,857.0
1838188.0,196.0,1125.0,1071.0
1863732.0,192.0,1264.0,1071.0
1886248.0,200.0,1360.0,1285.0
1911980.0,196.0,1446.0,1285.0
1935492.0,192.0,1489.0,1071.0
1959020.0,192.0,1489.0,1285.0
1983532.0,200.0,1435.0,1285.0
2006076.0,264.0,1360.0,1285.0
2030788.0,212.0,1264.0,1285.0
2054324.0,196.0,1157.0,1285.0
2078820.0,192.0,1050.0,1285.0
2102356.0,192.0,942.0,1500.0
2126020.0,208.0,825.0,1500.0
2148492.0,192.0,771.0,1285.0
2170988.0,192.0,750.0,1285.0
2194460.0,192.0,760.0,1285.0
2217140.0,200.0,803.0,1071.0
2239628.0,192.0,878.0,1285.0
2262124.0,192.0,975.0,1285.0
2285580.0,200.0,1082.0,1071.0
2309308.0,196.0,1189.0,1285.0
2333816.0,192.0,1328.0,1285.0
2357356.0,192.0,1414.0,1285.0
2381844.0,200.0,1478.0,1285.0
2405580.0,196.0,1489.0,1285.0
2429116.0,196.0,1467.0,1285.0
2453612.0,200.0,1382.0,1285.0
2476172.0,264.0,1296.0,1500.0
2500684.0,192.0,1189.0,1285.0
2524204.0,192.0,1082.0,1500.0
2548900.0,200.0,975.0,1500.0
2571396.0,192.0,878.0,1500.0
2594864.0,192.0,792.0,1500.0
2617532.0,204.0,750.0,1500.0
2640036.0,196.0,750.0,1285.0
2663504.0,192.0,792.0,1285.0
2685988.0,196.0,857.0,1285.0
2709660.0,192.0,975.0,1071.0
2731148.0,192.0,1082.0,1285.0
2755652.0,200.0,1189.0,1285.0
